name,hostelid,city,date,reviewid,reviewtext,value,security,location,facilities,staff,atmosphere,cleanliness
Planet Traveler Hostel,48151,Toronto,2018-08-04 00:00:00,review11642464,"Everything was 10/10! The location is perfect, we could walk everywhere, the rooftop patio had an amazing view and the place was spotless. The staff were all nice and super helpful and having free breakfast until 1pm us so rare at a hostel, it was such a treat!",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-03 00:00:00,review11649384,"Great hostel. Nice staff and atmosphere. They always have something going on like karaoke, movie night and trivia... I just thought that the subway station was a little bit far (15 min walk). Other than that... awesome. ",8,10,8,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-03 00:00:00,review11643113,The staff was super duper friendly and accommodating during my stay!  they answered all my questions and they provided breakfast daily and internet access.  Their rooftop is also very lovely and they always had fun activities lined for each day!,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-02 00:00:00,review11652984,"Perfect for solo travellers! 
Staff are so helpful and always available for questions, facilities are great, kitchen and laundry available, hostel hosts something every night so easy to meet people, breakfast included, rooms have good storage and lockers, bathrooms clean, linen clean, perfect location for food joints and easy transport everywhere!

Only downsides were the beds were quite squeaky and it gets very warm even with aircon, but this wouldnt stop me booking there again! ",8,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-02 00:00:00,review11652842,"This is a really well run hostel. The only downside is that the rooms are really small but everything else is incredible. The closest hostel experience to a hotel that I've had. Great activities, beautiful rooftop, excellent breakfast situation and all the staff and lovely and really professional. 100% recommend. :-)",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-01 00:00:00,review11744115,Fantastic hostel and staff are great ,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-08-01 00:00:00,review11640890,"The good: 
-location
-vibe/the other travellers it attracts 
-the breakfast 
-the cleanliness
-the staff 

The meh: 
-hard pillows 
-my room had no air con, just two fans, so it was rather hot 
-having a working bar would be helpful as the liquor stores close so early 

Overall: 
Really lovey hostel, would definitely recommend to others ",8,10,10,8,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-31 00:00:00,review11639338,"I would certainly recommend the Planet Traveller Hostel in Calgary. The staff were friendly & helpful, the free breakfast had everything you would want - cereals, fruit, breads, the facilities were very clean and location was very central. There was a good buzz around the place with the roof top area and events put on each evening. I felt safe & comfortable staying there which is all you can ask for when visiting a new city for the first time. Thumbs up from me for Toronto & the Planet Traveller",10,10,10,10,10,6,10
Planet Traveler Hostel,48151,Toronto,2018-07-30 00:00:00,review11661142,"My 1st time doing anything like this. Hostel staff were very friendly and helpful. The hostel was already very clean and had brilliant facilities, there was always something to do in the evenings, from bar crawls to a film night in the rooftop! Would definitely recommend!!!",8,8,8,8,10,8,8
Planet Traveler Hostel,48151,Toronto,2018-07-30 00:00:00,review11633533,"Excellent hostel in an ideal location for Kensington Market, Chinatown and within easy access to the rest of Toronto's best bits. Really great facilities, including the balcony bar, free breakfasts and affordable private rooms.",10,8,10,10,8,8,8
Planet Traveler Hostel,48151,Toronto,2018-07-30 00:00:00,review11621160,"Overall I really enjoyed this place! Very clean and well kept. Evening activities posted on each floor, and announced when you're checking in as well. Breakfast spread is just bagels, bananas and cereal, so plan accordingly if you want a more hearty meal. Would definitely recommend! They book up fast though, so book early!",10,10,8,10,10,8,10
Planet Traveler Hostel,48151,Toronto,2018-07-29 00:00:00,review11721250,Unfortunately my room was a bit dirty and the personal space is a bit limited. The staff is great though and the rooftop offers a great view over downtown.,8,8,8,10,10,10,6
Planet Traveler Hostel,48151,Toronto,2018-07-26 00:00:00,review11603931,"Great attention of the staff, incredible rooftop, very neat and clean, located near cool bars to go and have something to drink, cool activities that promotes the interaction between people.",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-25 00:00:00,review11650681,"I have only good stuff to tell you, from the great staff, the awesome rooftop, and also all the organized fun (a HIIT-workout at a hostel is the best idea ever!).
Visit, enjoy.",10,10,10,10,10,10,8
Planet Traveler Hostel,48151,Toronto,2018-07-25 00:00:00,review11621793,"In a great location close to Kensington with cool bars and shops! Don't lose your key card because front desk closes around midnight! Breakfast is served 'til 1pm so really handy if you're a late riser! The area is safe, hip, and easily accessible! They have a nice rooftop deck with views of the city and a great place to socialize with other travelers!",10,10,10,8,10,8,8
Planet Traveler Hostel,48151,Toronto,2018-07-25 00:00:00,review11613064,Solid hostel. Beds were loud but other than that really no issues. The patio is amazing and you have everything you need. Would stay again.,6,10,10,8,10,8,10
Planet Traveler Hostel,48151,Toronto,2018-07-24 00:00:00,review11646323,"Had a great stay; the staff is helpful and friendly, breakfast is until one pm, with plenty of options and the rooms and especially the bathrooms are modern and clean. ",10,10,10,10,10,8,10
Planet Traveler Hostel,48151,Toronto,2018-07-24 00:00:00,review11595556,"Literally the best hostel I have stayed in, on my whole trip around the world! Everything about hostels that is annoying they have flipped it and made it great! I would highly recommend to anyone!  ",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-21 00:00:00,review11590447,Awesome place to stay. Everyone is extremely polite and friendly and all the facilities are great. Best place to meet travellers,10,10,8,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-18 00:00:00,review11585715,One of the best hostels i've stayed in world wide. Not the cheapest but 10/10 in every other department so I suppose you get what you pay for! Alex who works at reception is top bloke!,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-14 00:00:00,review11570980,Had a fab stay at Planet Traveller. Really friendly staff and guests. Worth the higher price as breakfast is extensive and facilities are great/hostel is extremely clean! Thank you for such a great stay! ,8,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-14 00:00:00,review11570732,"Hostelworld needs another category for evaluating hostels: Environmental Sustainability.  Planet Traveler Hostel is the most ""Green"" of any of the lodgings with electricity I've ever stayed in. I've stayed in Eco-lodgings in several developing countries (e.g., Nicaragua, Ecuador, So. Africa) that had no access to electricity from the grid), but very pleasant. This hostel is a terrific way to enjoy reducing your carbon footprint as a traveler.  Then try to green up your way of life at home.",10,10,10,8,10,10,8
Planet Traveler Hostel,48151,Toronto,2018-07-10 00:00:00,review11545591,"This hostel was all around great! I highly recommend staying here, as it was very clean and the staff was very friendly.  The breakfast has so many choices and is around until 1 pm.  Also, the rooftop is a great place to hang and enjoy the view. Stay here!!!",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-08 00:00:00,review11564876,"Amazing hostel, breakfast til 1pm, activities on the rooftop every evening (great views from up there!) 
I met loads of like-minded people - breakfast area is perfect place to get chatting and making new friends! The hostel helped us organise a day trip to Niagara Falls and recommended how to get to Toronto islands - just ask! Appreciated the plug and light on the actual bed and air con in the room.
Do not hestitiate, definitely book to stay here if you are visiting Toronto! ",10,10,8,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-07 00:00:00,review11580040,Its definitely worth the price! ,8,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-07 00:00:00,review11575116,"I really enjoyed my stay at planet traveller! It's really easy to make new friends as a solo traveller with the evening entertainment and the communal areas.

The room itself was very clean, the staff are really friendly and helpful and the location is amazing! 

Other hostels I've stayed in in a Canada has nothing on planet traveller and I can't wait to go back! ",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-06 00:00:00,review11578461,The planet traveller hostel was great! The atmosphere is great and the staff are always happy to have a chat or help you organise plans for your holiday. The Niagara Falls trip they offer is amazing value for money and comes highly recommended. The area is very walkable and there are public transport options if you prefer. A fantastic stay!,10,8,8,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-06 00:00:00,review11520803,"Great hostel!  Maybe rooms are a bit small for 6 beds and maybe breakfast could be improved a bit but this is just to be picky 😀 
Recommended ! ",8,8,8,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-05 00:00:00,review11512077,I had a fantastic time!!,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-02 00:00:00,review11628253,"Great hostel manned by helpful and attentive staff. Good location close to Kensington market and the tram line. The dorm I stayed at was a little cramped but very clean and with comfortable beds. What's great about this hostel is that they have events on every night at the hostel rooftop so is great for solo travellers. The only small gripe I had is that all communal areas closed at midnight sharp so you were forced to the dorms after this time. Overall,an excellent hostel though and recommended",8,10,8,8,10,8,10
Planet Traveler Hostel,48151,Toronto,2018-07-02 00:00:00,review11511389,"Had a wonderful stay at this hostel. The staff were super friendly and always happy to help, the place was kept very clean and there was a very welcoming, safe atmosphere. Location couldn't be better, right near Kensington market which is perfect for food and bars and also not too far to walk to other areas of the city. Would highly recommend this hostel to anyone staying for a short or long period.  ",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-02 00:00:00,review11497735,Best hostel in Toronto ,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-07-01 00:00:00,review11508768,"Great facilities and fun vibe (the nightly organized events helped to meet other guests). It's right around the corner from Kensington market and an easy walk to the waterfront, and the staff were really helpful with tips on what to see! Would definitely stay here again if back in Toronto.",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-30 00:00:00,review11495180,"This hostel was amazing the view from the rooftop, alot of things to see close by. Had a great time.",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-30 00:00:00,review11492469,"Visited Toronto for Canada Day weekend and was happy to find availability at Planet Traveler since I'd read a lot of favorable reviews about it beforehand. The view from the rooftop is amazing, everything is clean, staff are friendly and location is quite central to downtown. Also the other travelers were quite sociable, so that was a plus for me since I was traveling solo. I would definitely stay here again if I returned to TO",10,10,10,10,10,8,10
Planet Traveler Hostel,48151,Toronto,2018-06-29 00:00:00,review11661586,"It was fantastic place to stay ,it was in the center Toronto able to get to anywhere by public transport or walking. The staff where really informative and helped you out for sites to see , along with with places to eat ,buy food and buy alcohol. They supplied lockers for putting any important stuff away , the WiFi was also really fast. The evening events was extremely fun and brought a lot of the guest together along having a fantastic roof top access and fantastic view of the city.     ",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-29 00:00:00,review11529981,"this place is tops in my book. first off, staff was great, super cool folks. second, BREAKFAST TILL 1PM!!!!! third is a super cool roof top bar with perfect view of the city. its a great view during the day, and whole different view at night. The hostel dose super cool events, like roof top movie night, triva, and even a BBQ with great food. i've been to alot of hostels and this one makes it to the top 3 list no doubt. Facilities are amazing. oh did i mention free pop corn?",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-29 00:00:00,review11516112,"I had a really good time! While it did seem a bit expensive, it was well worth it in terms of the facilities, breakfast 'till 1pm, staff, location, and activities! Would definitely stay there again!",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-29 00:00:00,review11503839,"If you love food, it's a great location right next to Kensington Market. It's also close to a tram stop that will quickly shuttle you to downtown. 
They had activities going on every day which was great with the BBQ on Saturday being the highlight. There was nothing organized for Canada Day which was a missed opportunity but the hostel has a great social vibe anyway that we made the best of it. 
Rooms are cleaned daily and towels are included which is always a nice bonus. Rooftop patio wasbest",10,10,8,10,8,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-29 00:00:00,review11489822,"That view!! What an amazing place! The location is just perfect, really close to cool bars and hip restaurants. The staff is super helpful and lively! The free bbq on saturday was superb! It was a great place to meet all kinds of travellers, enjoy the rooftop and then head out for some drinks and clubbin. Would definitely come back!",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-28 00:00:00,review11570861,"I stayed in a private room, sharing bathroom with other 2 rooms. Room and bathroom were clean. 
Wi-fi didn't work in my bedroom. I had to stay in the lobby to connect to the internet. Also, the door to access the private area of my room was broken.
They provide some food and you should prepare your own breakfast sharing the kitchen with other customers. Not so practical. 
Location is good, near Spadina Street, getting easy to access public transportation. At night the street had some noise. ",10,6,8,6,8,8,10
Planet Traveler Hostel,48151,Toronto,2018-06-28 00:00:00,review11496882,"This Hostel is very close to Kensington Market, which has so many breweries, restaurants and coffee shops to go to. Staff is very friendly, breakfast hours are from 7am to 1pm which I thought it was great! There is a nice rooftop open from 7am to 12am with a great view of the CN Tower.  
The rooms are very clean, a little narrow but they are fine. ",8,10,10,8,10,8,10
Planet Traveler Hostel,48151,Toronto,2018-06-28 00:00:00,review11487542,"Great hostel, with friendly staff in a nice neighborhood. They organized plenty of activité, and have a rooftop with an amazing view over the city. Also the beds are clean and comfortable",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-27 00:00:00,review11546031,"Great hostel, perfect vibe for anyone. More tuned towards Solo travellers which is great. Rooftop bar is a plus.",8,10,10,6,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-27 00:00:00,review11487817,"Absolutely great place. The staff was very nice, the location was great and everything was super clean. Fast internet, nice facilities and free breakfast. Definitely would stay here again in Toronto. ",10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-26 00:00:00,review11536188,"Beyond anything we expected. The staff were extremely helpful and provided us with anything we needed. As young parents we were a little skeptical bringing kids to a Hostel, however, both staff and fellow travelors were polite and understanding. Can warmly recommend this Hostel to anyone seeking a place to stay in downtown toronto, even families with kids.",10,8,10,8,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-24 00:00:00,review11515832,"The location is great, easy to walk to main attractions or get public transport. The staff were wonderful and very helpful. The only real downside was it was very hard to meet other backpackers to do stuff with, as a lot of the people staying there were actually living and working in a Toronto on working visas so weren't interested in doing tourist stuff.  The hostel has great activities every night, my favourite being a fitness class on the rooftop, this was easy to motivate myself to exercise!",8,10,8,10,8,8,10
Planet Traveler Hostel,48151,Toronto,2018-06-24 00:00:00,review11472122,"The staff are excellent, this is one of the friendliest places I've ever stayed at. Breakfast is good and included in the price and is available all morning. Very clean, comfortable beds and good security. It's located close to Chinatown and there are streetcar stops close by so it's easy to get to different places in Toronto and out to the airport. I would stay there again.",8,10,8,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-23 00:00:00,review11481840,Wonderful experience! The staff is amazing!!!,10,10,10,10,10,10,10
Planet Traveler Hostel,48151,Toronto,2018-06-23 00:00:00,review11476057,Very good hostel. Great staff. Highly recommend!,8,8,8,10,10,8,10
Planet Traveler Hostel,48151,Toronto,2018-06-22 00:00:00,review11518969,"Good location in downtown. Rooms and bathrooms small, not a lot of space. Clean and modern. Air con does not work properly. Staff friendly/helpful when approached, but not particularly knowledgeable of local night out spots/restaurants. Amazing breakfast, good WiFi, good views from rooftop- overall would recommend. ",8,10,8,8,6,6,8
Planet Traveler Hostel,48151,Toronto,2018-06-22 00:00:00,review11510355,Had a super positive experience - would definitely stay here again next time I'm in Toronto. The facilities were great and both the guests and staff were genuinely friendly and welcoming.,10,10,10,10,10,10,10
HI Toronto,3856,Toronto,2018-09-14 00:00:00,review11807363,It was perfect for what I needed. ,10,10,10,10,10,10,10
HI Toronto,3856,Toronto,2018-09-13 00:00:00,review11803908,"I arrived past my check in time but the stuff was pretty great and was on call 24/7 the place was very clean and quiet, the room was bit small for me (as a big guy...) and the bed was a bit shaky but overall I had a good stay.",8,10,10,10,10,8,10
HI Toronto,3856,Toronto,2018-09-11 00:00:00,review11821569,The location right in the heart of downtown makes the upstairs patio the perfect place to do work. Surprisingly over two days I only saw one other person out there in what was a nearly full hostel. The showers were clean and it was great that past guests left so many toiletries. The safe in my bed was great to lock up my valuables and passport. Our tour guide to the Toronto Islands was awesome. The basement bars entertainment was too loud to talk to other guests both nights i stayed,10,10,10,10,10,10,10
HI Toronto,3856,Toronto,2018-09-10 00:00:00,review11814254,This felt like more of a halfway house then a backpackers hostel. ,4,8,8,4,10,4,4
HI Toronto,3856,Toronto,2018-09-05 00:00:00,review11813289,Staff are helpful. Dorm room is cramped. Kitchen is nice. Downstairs restaurant is a lovely area. Security is good. An okay place but for the price it could really do better.,6,10,8,6,10,8,6
HI Toronto,3856,Toronto,2018-08-30 00:00:00,review11762531,"Great atmosphere. Met so many people doing the free activities. Good bar, with a great happy hour and the most helpful, friendly staff I've come across! I heard some rooms could do with an upgrade and there aren't lockers for bags but a safe for your valuables. But overall a good hostel for a solo traveller. ",8,8,10,8,10,10,8
HI Toronto,3856,Toronto,2018-08-24 00:00:00,review11735683,"The location, staff, atmosphere and general facilities were all great, and the breakfast was amazing! If I had to fault it, I would just say that the 8 bed mixed dorm was beyond cramped. I got hit by the door when I was looking through my suitcase a couple times, so people with a lot of luggage - beware!",10,10,10,8,10,10,10
HI Toronto,3856,Toronto,2018-08-24 00:00:00,review11731607,"Good place to stay, close to everything and very helpful staff. Things happening and the bar downstairs is good",10,10,10,8,10,10,10
HI Toronto,3856,Toronto,2018-08-18 00:00:00,review11744027,"Great hostel with perfect location, good for solo travelers as there is also space for socializing. Each bed has a safe, where you can put your things, that was very useful. Also breakfast were really nice. I really enjoyed staying there and when I am back in Toronto, I will stay again! Thanks",10,10,10,10,10,10,10
HI Toronto,3856,Toronto,2018-08-18 00:00:00,review11736719,"Great hostel in the heart of Toronto, close to everything you could want and with its own little pub in the basement. 
The team is super nice and activities (largely free) are organized every day. I had a great time and met many great people from around the world.
Would definitely stay again",8,10,10,8,10,10,8
HI Toronto,3856,Toronto,2018-08-16 00:00:00,review11733573,This is a fantastic place to stay. Very secure and safe to stay. Slept in a 10 bed all male room. Lights were off by 11:30pm and people not talking much. Had a bar underneath the hostel that had live music that night I stayed. The staff was friendly and helpful.,8,10,8,10,10,8,10
HI Toronto,3856,Toronto,2018-08-13 00:00:00,review11707416,"Good location not far away from the financial district and the Distillery district. 
We enjoyed our stay and the really good breakfast.",10,8,8,8,10,8,8
HI Toronto,3856,Toronto,2018-08-13 00:00:00,review11681554,"Great Hostel , friendly staff , close to center and railway station . Awesome breakfast and coffe . Great place to stay !",10,10,10,10,10,10,10
HI Toronto,3856,Toronto,2018-08-08 00:00:00,review11697567,"I really enjoyed my stay there, the breakfast was wonderful and it was near all the things i wanted to go to, like the hockey hall of fame. ",10,10,10,10,10,10,10
HI Toronto,3856,Toronto,2018-08-07 00:00:00,review11671417,"Not bad, but don't expect too much going on. A lot of crackheads around the building too. ",10,8,6,8,10,4,10
HI Toronto,3856,Toronto,2018-08-02 00:00:00,review11684086,"Stayed in 2x HI's in canada, one dorm felt like a hospital ward, this one themeless but equally miserable. The price paid and the state of the rooms just doesn't match up. Hostel has its own underground bar, who's smoking area appears to be outside right under the window of every front facing room. Didn't get to sleep until about 4am when that noise died down. Very expensive for what it is.",2,10,10,2,10,6,8
HI Toronto,3856,Toronto,2018-08-01 00:00:00,review11650055,"I didn't stay for long at this hostel, but the cleanliness it's not their strongest point, especially the bathrooms, the breakfast is ok. The bar at night has a nice vibe to it and it was the part that I enjoyed the most, got to meet some great people. As for the staff in the reception, they are pleasant, but don't get involved much with the guest. The dorms are cluttered and have no lockers and had to leave my things on the floor, but they do have a safe to keep the most important documents.",6,6,8,4,6,8,4
HI Toronto,3856,Toronto,2018-07-30 00:00:00,review11643995,"had clean/new amenities. 
however the room felt like a hallway with a couple of beds lined along the wall! honestly don't know how everyone would've gotten out in an evacuation.",4,8,8,2,10,2,6
HI Toronto,3856,Toronto,2018-07-25 00:00:00,review11645010,"The hotel is good. However, there were no common areas in order to share with people rather that the cavern (where you had to pay for everything you consumed) or the reception that wasn't a really nice place to chill (only to wait for check in or wait for you flight or something after cheack out) . 
We had trouble for getting in at night, a long wait followed by I'd verification that was a real hassle at 3am... ",8,10,8,6,8,8,10
HI Toronto,3856,Toronto,2018-07-22 00:00:00,review11589294,"This is definitely a decent option in Toronto but not the most comfortable. The room I was in was tiny and felt cramped and gross with no air circulation. The bathroom was so tiny that it was almost like an airplane bathroom but with a shower crammed in. That being said, it was pretty clean and the employees were kind. It's in a great location in Toronto and included a free breakfast, nicer than many other hostels would. ",6,10,10,6,8,6,8
HI Toronto,3856,Toronto,2018-07-21 00:00:00,review11577290,"Everything was good, but I found that the cleaning staff was cleaning the bathrooms forstcrhibg in the morning, when guests were trying to shower and get ready. 

Might be better to do the rounds later in the morning/early afternoon when most are out",8,8,8,8,8,8,8
HI Toronto,3856,Toronto,2018-07-16 00:00:00,review11604588,Great location!,8,10,10,10,8,8,8
