sentence,cleancontent
elevators were broken son needed to walk up and down to the 7th floor,0
nice bar and outside and pretty cheap,0
it was a last minute booking,0
right near the train which was nice,0
great location no frills hostel,0
this is my goto place when staying in hongdae,0
i stayed in paddington pride and had a good time,0
it seems its just a restaurant but there is quite a big hostel above it,0
if you want to meet other travellers it might not be the place to go,0
if its just to stay for the night its a really nice place ,0
i did have a little issue with the manager because she told me i had to check out early what wasnt agreed upon,0
but the service in the restaurant was excellent,0
fast very friendly and good food,0
special compliments to the waitress yanella,0
this hostel is one of the best that ive ever stayed at,0
the bathrooms were super nice and clean the staff was hilarious and extremely helpful and the downstairs is so much fun,1
the breakfast staff were very sweet too,0
definitely would recommend for meeting new people and solo travelers,0
location was spot on as well 10 minute walk from the tower bridgetower of london and there are bikes for rent for cheap just outside of the hostel,0
oh and you get a free drink at the bar with your check in,0
i got in so around 11 pm and left by 530 am so i cant give much a review,0
staff was helpful as i was confused about what tube lines i could access with closures for my trip the next morning,0
had an atm in the lobby,0
this place probably feels closet to the hotel that you can get with a hostel,0
wifi is good private bathrooms with a shower,0
closer to elephant and castle station which makes it very easy transfer if you use gatwick airport,0
everything was fine i loved the place,0
i checked into this hostel for the night before melt festival,0
i stayed in a room that had many items left from previous travellers that i was told were free if i wanted them,0
more seemed like a reason not to clean it up or throw it away ,1
the water was cold ice cold and was told it would be fixed was not fixed for the entire duration of my stay,0
the actual hostel itself had a strange smell,1
the staff didnt look like they wanted to be there,0
good location though,0
âœ”,0
ï¸,0
the hostel was good enough as it was my first stay in a hostel it was great ,0
the area around the hostel is totally safe i recommend this hostel for solo travelers male or female dont worry just go there and have fun,0
hostel caught fire during the night and we had to be evacuated,0
we didnt get any sleep as the fire alarm kept going off,0
we werent offered a refund except we were allowed to check out an hour earlier,0
no real apologies,0
we kept getting told that we were lucky it wasnt worse,0
not having the hostel burn down is a pretty low standard,0
the room was super hot and there was no aircon aswell,0
room was dirty and the sink was leaking in our room,1
good location and breakfast included which is a postive,0
the host was clean but and location was okay for getting to a bustrain station,1
the area the hostle is located was pretty sketchy and not much to do with in walking distance,0
it is a nice place to stay in berlin,0
i had a lot of fun in there facilities are excellent,0
the location is what sells this place,0
i was able to see and do so many things just by walking,0
the security was good and for old the building was the cleanliness was decent,1
however at one point the water was so hot in the shower i couldnt even shower as it was scalding hot,0
i didnt have very much interaction with the staff,0
i would stay here again,0
great place very clean and very easy to meet new people in the happy hour,1
the breakfast was really worth the price staff were friendly and the rooms are comfortable and clean,0
would definitely recommend for solo travelers,0
the shower in the room was plugged and there was only one shower for 8 person,0
also the room for 8 person was too small and also there was not enough conditioner,0
so it was too hot,0
 the hostel is very intetesting and nice ,0
pretty far from a lot of things,0
but i met great people and had a lot of fun,0
zzzip is absolutely one of the best hostels ive ever stayed at,0
its clean safe affordable and the owners brian and jina are super helpful,1
they give awesome general recommendations for seoul or hostel recommendations if youre staying in another city have cheap fees for renting towels or doing laundry and will even call local places to order food if you arent fluent in korean,0
i will definitely stay here again next time im in seoul,0
great customer service ,0
spacious room and clean,1
clean fairly modern comfortable beds,1
seems secure,0
staff were helpful ,0
literally around the corner from gare du nord which can be good and bad,0
handy for transport purposes but the neighborhood is a bit rough looking especially at night,0
shocking try to fit 6 people and their bags into a room that should sleep 2 at most uncomfortable and the bathrooms werent the cleanest,1
absolutely wouldnt recommend,0
staff were great and helpful it is nice to have a laundry facility that you can use free of charge the location is not amazing but it is handy as it is just opposite to a subway station ,0
fridge was very small and we couldnt fit our stuff the room and toilets were not very clean in the shower area there was no place to hang clothes and towel very annoying,1
good hostel rooms are nice with comfortable beds and decent bathrooms,0
friendly staff who are helpful,0
good â‚¬7 breakfast in a morning,0
very close to a metro station literally around the corner close to shops bars and the berlin wall,0
its a bit of a party atmosphere hostel but its that big that anyone who is travelling would fit in here,0
clink78 was very well staffed,0
cheap drinks and good atmosphere,0
so convenient if you are traveling through st pancreas as it is less than a 10 minute walk to the station,0
great option if you are looking to stay near kings cross,0
my only complaint was the showers on the top floor ran cold,0
ended up going down a floor and the showers were warm there,0
so not a huge inconvenience,0
rooms got really hot but it was nice having a private bathroom,0
the staff seemed really nice and cool but they had no sense of urgency or interest in doing any of their jobs,0
the check in line was out the door for an hour,0
other than that a really nice stay,0
met lots of people and the location was good,0
had to book this pretty last minute and couldnt have been more pleased,0
great location and really helpful staff,0
the manager jonny was full of great recommendations and good for more than a few laughs,0
i know where ill be staying when i come back to london,0
my 1st time travelling solo as a transgender person m to f a member of the lgbt community,0
i felt at ease no stress and the staff were very helpful and friendly,0
clean and well managed top location easy connections and close to transport,1
highly recommended,0
i loved the location close proximity to the underground station and all eateries,0
it was clean for a hostel despite the many guests present,1
the room was quite and breakfast was ok,0
very cost effective and would stay at the hostel again,0
should i visit london,0
perfect place for short durationwas there for 2 nights ,0
grand old hotel many stairs many coming and going great location helpful staff,0
i was discouraged by the bathroom facilities in this particular hostel,0
i was even more surprised that the other st christophers the village in london had a better atmosphere and cared more about cleanliness,1
the showers if i can even call them that were atrocious,1
i did not feel comfortable,0
i spent a week here and it was fantastic,0
the people were so welcoming and friendly and it was just overall a place i would definitely stay again,0
overall great stay amazing area clean facilities helpful staff,1
paris is expensive but this is a great option for the price ,0
some cons not amazing communal vibe no organized events only 1 outlet per room beds slightly creaky ,0
side note check out anthony bosson boulanger a few blocks away for amazing pastries and coffee get kouign aman or macarons if you enjoy starting your day that way,0
gorgeous hostel so handy for the metro,0
the room only had two sockets between 8 beds thankfully the room was only half full and had limited charging points downstairs ,0
staff were nice,0
ok so this place was pretty great ,0
the atmosphere was friendly and social had a fantastic kitchen  eating space  outdoor area  relaxing lounge area to chat with other travellers,0
the rooms were so clean  had lights and charger ports by the bed,1
the bathrooms were very clean the staff were so friendly,1
only glitch i would say is that the shower in the room,0
i was in didnt drain properly and leaked under the glass door  cold check in ,0
300pm was very slow as everyone was checking in,0
good afternoon im requesting a chargeback of my credit card for improper charges ,0
my daughter stayed at the hostel on 06212018 and as soon as we arrived at the property made the cancellation on 06252018 ,0
to my surprise not covering on the credit card,0
attached photo ,0
you can check in the hostel that we used the stays of 06232018 and 06242018 we canceled the 06252018 and paid the difference that was missing in the place in cash,0
no proof of payment was provided ,0
please verify it,0
hostel was very nice,0
staff were friendly and location was very good,0
the bathroom in the room was very small which was difficult to use,0
this is a great hostel,0
i loved the location and the facilities were clean and nice,1
i would highly recommend it to other travellers,0
great location and friendly staff but the atmosphere isnt great for solotravellers,0
the common area was empty and the loungebar was closed for private events a couple times,0
i stayed in the dormstyle room on the upper deck and needed to keep the window open because of the heat though the kitchen staff made a lot of noise during cleanup and people would sit outside the window to smoke and chat which made it difficult to sleep,1
though they assign you to a room they dont always assign you to a bed which was problematic because i heard two seperate occasions of people complaining others were in their bed or had moved their stuff,0
the majority of the people staying were older men which made me feel a bit uncomfortable as a 19 year old female traveling alone,0
the bathrooms arent great you essentially have to be naked in front of a lot of others and the outlet on my bed was broken which made my trip very hard,0
very satisfied overall,0
good hostel quite clean compared to the rest of delhi its perfect good location bit of a lack of atmosphere though,1
its a good hostel but doesnt fall in the category of the best positives ,0
1,
the location is amazing,0
everything is in the radius of 2 kms 2,0
hostel and rooms are huge 3,0
very clean negatives 1,1
breakfast is not included neither you can cook 2,0
lockers are very thin,0
cant even put a bag,0
you can only keep important docs 3,0
there are only 4 commodes,0
2 for males and 2 for females on a floor with 150 beds 4,0
shower area just has curtains not a proper closure 5,0
only 3 sockets in a room of 6,0
good location nice staff not many showers 23 for one floor but fortunately i never had to wait  ,0
its probably better value than most other hostels considering its paris,0
but i agree with some of the reviews i read,0
there are a couple of staff members that are very friendly while others are just v difficult to speak to or ask questions,0
there is no communal kitchen and everything they offer food wise is quite expensive,0
close to metro,0
its clean but all the shower curtains suffer from a ton of mold thus the poop smell,1
great people,0
perfect for groups even better for solo,0
gregs a g too,0
theres nothing really wrong with this hostel but theres nothing thats great about it either,0
the rooms are quite small and so maneuvering around roommates can get quite interesting,0
the bathrooms are also very small and the floor is often wet as the shower curtain rarely manages to keep all the water in,0
the hostel is located near two metro stops which is a great help,0
theres no common room apart from the kitchen which is not the most comfortable but fine for 1 or 2 nights id say,0
quiet yet central  10  15 minutes walk from the arc de triomphe,0
the hostel is very close to the metro,0
the building combines cool modernity with architectural grandeur ,0
very clean and a very good breakfast with lots of choice,0
the staff are friendly and speak good english,0
the shower rooms i used were cool and modern,0
parc monceau is a nice park near by there is a lovely courtyard with chairs and tables,0
i would highly recomend this hostel,0
clean and friendly hostel with a decent free breakfast,1
6 share room was pretty pokey and was hard to find space to put a bag,0
had to hire a locker which was a bit annoying,0
overall decent enough accommodation for a bed to sleep in in a very good london location,0
its very nice for the price,0
rooms are clean and so are the showers,1
outlets and reliable wifi,0
there are storage lockers for the day to put belongings and its 5â‚¬ per day which was nice bc i wanted to explore the city more before my 10pm train and wanted to check out in the morning,0
for me i just needed a place to put my head and shower after a day of exploring but overall very nice,0
great hostel will definitely be staying here if i go to berlin again,0
great location great hosts,0
will definitely return,0
nice location very helpful staff,0
i stayed two nights and feel prertty satisfied it was queiet at night although i was in a dorm for 30 people everybody was respectful and,0
there r nice areas to relax,0
the only thing that bothered me and i can give it as a suggestion is to give adaptors for the elextricity for rent instead of selling them because if a person plans to stay for a short time in england it is a useless ourchase to be made,0
staff were good and helpful in most respects ,0
security of baggage was not managed easily,0
Â£250  Â£350 would be charged to stow items in a basement not easily accessable,0
this was automated and when power tripped out on the system things rapidly became unstuck,0
the hostel accepted guests in groups who were not of sufficient agematurity,0
one such first in my dorm arriving in the middle of the night throwing up and calling an ambulance having been drunk for the first time,0
otherwise good ,0
cool interior reasonably easy to meet people but not super social,0
wouldnt recommend for solo travelers,0
bathrooms were often gross one didnt have running water and the wifi worked very poorly in the common rooms and not at all in the dorms themselves,1
also in a pretty sketchy area,0
i was recommended not to leave or come back from the ubahn alone at night as the station across the street is surrounded by squatters,0
theres a lot of reasonably priced food nearby though and subway is close,0
astors museum hostel is in the most perfect location which makes sightseeing around london easy especially for those on a time crunch,0
the hostel has the most helpful and knowledgeable staff who made awesome restaurant and sightseeing recommendations,0
this hostel has an amazing industrialstyle kitchen which is perfect for cooking,0
i stayed in the 16bed dorm and found the room to be spacious enough with linens provided,0
overall the hostel had a good atmosphere and was very sociable,0
this hostel was so comfortable and safe,0
even the breakfast went above and beyond,0
five stars dude ðŸ’–,0
they have a daily room cleaning staff and a swimming pool which is pretty amazing for a hostel,1
really lovely place had a great stay,0
very helpful staff lots of amenities and differ parts of the hostel to explore,0
huge bar,0
the location is really cool near the east wall gallery and the river just a quick transit to get to the centre,0
close to lots of nightclubs,0
just bring a lock for your locker,0
room was a little dark and noisy because the windows open onto the street,0
shower a bit busted,0
great location and facilities,0
super clean,1
staing there was fun,0
everything was clean,1
but for anyone with an interrail ticket expecting to get a 10 discount you only get it if you book through famous hostels,0
i booked through hostelworld and didnt get the discount,0
it was a nice place to stay but the room didnt get cleaned very well and the shower smelled like mildew,1
the bar was understaffed and the rooftop bar was always too crowded,0
overall an average place to stay and not really worth the money,0
you get what you pay for,0
but overall i would recommend the hostel to others,0
staff is really nice and the bathroom is big and private,0
nice stay,0
big hostel,0
room was great,0
the pool area was being under renovation though,0
overall great experience,0
very welcoming environment and was able to do everything that i would need in a hostel shower laundry storage etc it is a little loud at times but nothing to unbearable bring ear plugs,0
great place and highly suggest,0
this is the worst hostel i have stayed in,0
this hostel is absolutely disgusting there are so many things wrong with it,1
i cant mention them all,0
but cleanliness was the worst,1
sheets were stained,1
the common area is always dirty and really sticky we were so disgusted we didnt eat because everything was so dirty,1
we were so disgusted we chose to go to another hostel and even though this was their own fault they refused to reimburse us for the nights we did not stay there,1
room had a small window that wouldnt open in the middle of june,0
we pretty much fried in the room it was extremely uncomfortable,0
bathrooms were not well maintained,0
i was a bit disappointed,0
i had to move beds 3 times before i could assign myself,0
while this was going on the employee was talking about how much she hates her job,0
and i dont think i saw a single employee who seemed happy during my stay,0
that makes me a bit worried they arent treated well,0
also definitely felt the need to check for bedbugs,1
not clean mold in showers,1
two girls were moved from my room because of creepy dude idk,0
i would not stay again,0
too expensive for all that,0
great staff great location only thing is that the train is right there so thats pretty noisy bring a fan,0
it gets pretty hot as well but all in all great eviroment,0
i would come stay again,0
i had a great stay here,0
amazing service for a hostel free fresh towel daily,0
the hostel felt very safe,0
i was very comfortable in the room,0
the only thing is if you are a solo female like me i would avoid arriving here late at night,0
i did have some guys follow me,0
but it is close to the train station so its not too hard to make a quick dash,0
my one advice if you re a female go to to a girl dormitory,0
great for a good nights sleep,0
as a solo traveller the common area wasnt the best to mingle with other travellers,0
staff were fantastic extremely friendly and happy to help with luggage storage etc,0
i felt very welcome here,0
close to a train station but also can comfortably walk to westminster and around,0
not a loud party hostel,0
so its perfect for a good nights sleep in a good location,0
would recommend,0
the hostel was unbearably hot,0
also the room i was in the windows have no curtains so the sun was beaming down on you very early,0
there was also a lot of noise from the road that made it hard to sleep,0
the staff were nice and helpful,0
the bar was good but they would blast music when nobody was in the bar so it was hard to meet people and have a conversation,0
awesome place highly recommended,0
great location if you have flights to catch,0
the beer vending machine is cool,0
theres a lawson close by and the atmosphere is pretty chill,0
you get alot for the price ,0
nice hostel with charakter ,0
this is my 4th time staying at zzzip guesthouse,0
and i always stay here when i visit seoul,0
it feels like a home away from home,0
great experience the staff was amazing helped me whenever i needed,0
the room was clean and organized just the common bathroom could be a little cleaner,1
the bar adjacent to the hostel is a positive extra with good food and ok prices just for food alcohol was a little bit pricey on my opinion ,0
just two negative things i would like to point the towel was not included and i had to buy a padlock to secure my stuff on the proper place,0
in those two thing i spent 8â‚¬ that i didnt expected,0
cool place with good vibes but dirty and not in the most convenient location,0
had to sleep in the lobby because our flight was cancelled and we missed our initial booking date,0
once you arrive everyone is asked to take off shoes i figured out later,0
this is because they dont clean and so it reduces possible dirt on the floors,1
showers werent cleaned at all over my stay,1
i asked if there was a cleaner and was told they clean if they have a chance,1
this raises alarm bells for me as hostels need to be kept clean every day,1
no signs outside so confusing to find,0
entry hall and stairs has filthy carpet,1
i wont be staying there again and i recommend staying elsewhere,0
nice location near the borough market london bridge station and the iron square,0
bathrooms and rooms appear to be newly renovated,0
staying at leo great wall hostel was really nice,0
the staff were down to earth at their was a nice relaxing atmosphere,0
you can clearly see the great wall from the hostel and there isnt as many tourist on that part of the wall that there might could be,0
the owner also has a small restaurant where you can buy food and drinking water soda etc,0
although it was a bit expensive compared to the prices near the city,0
definitely worth staying and would at any time recommend it,0
nathan was the best host,0
he was very informative and helpful on local eateries and sights,0
felt right at home soon as i walked in,0
definitely coming back here on my next trip to london,0
someone took my cash from the room and it was a horrible experience,0
i know i should have been more vigilant but the staff was barely helpful and all they did was showed sympathy and gave me the address of the police station,0
my money was in the room and its either one of the people who slept in the same room that night or it was housekeeping who took it,0
they should put automatic lockers in the hostel,0
clean hostel located in good area not far from 2 subway stations with easy access to lots of facilities including a small mall across the road,0
opportunity to sign up to tours incl niagara falls,0
sockets in the dorm limited and location of beds did not accomodate adaptors,0
when beds were moved slightly so i could charge  it was promptly moved back in one case damaging the plug,0
staff were not always available especially when booking activities and atmosphere was not always that welcoming,0
honestly i was so happy to relax at this hostel,0
it was the first hostel i stayed in where i felt like i had a family to talk with and and out with each night ,0
showers only on the ground floor but enough toilets on each level,0
had a 2night stay here after a trip around china,0
its a great location just under tianmen square,0
lots of shops and resturants near by,0
had 2 leaving drinks 2 different groups here and the bar and staff are amazing,0
gnts for 20yuan metro is about 15min walk breakfast isnt too bad either ,0
lockers are big and bathroom was clean and tidy in the 4man room,0
safe and secure and doodles from every corner on the earth on anything that is nailed down,0
would deffo reccomend,0
best hostel i stayed at during my whole 6 week holiday,0
great atmosphere  great rooms only wish that the bunk beds were a little sturdier,0
first two nights here were fine third night my friend saw something crawling across her bed,1
long story short it turned out to be a bed bug which we killed,1
left and had to find a hotel at 1 am,0
if you need a cheapeasy place to stay this is an option,0
the staff was friendly and provided me with a towel pillow sheet and duvet,0
the dorm beds are assigned bed 6 in room 14s privacy curtain included the inroom security lockers that everyone used so it wasnt actually private,0
space livable but not clean there were cobwebs and water damage over the bed grimemildew on the shower light,0
staff cleaned spaces regularly,1
the front door 10 clarence sq was never locked at night,0
the hostel was clean and the beds were comfy,1
lockers were a bit small but not a major problem,0
however we arrived about 11pm,0
the area doesnt feel at all safe and is a long way from the city centre,0
when we arrived the guy on the front desk barely said hello and was not at all welcoming,0
safe to say we both felt very unsafe on our first night,0
there was a timetable of events for each night but they were poorly organised so no one actually went to them,0
as a result the atmosphere was dull,0
the staff were great and really accommodating it was clean and super cute and the beds were nice,1
only complaint is lack of ac and the windows in my room were not allowed to be opened so it was extremely hot in the room,0
otherwise great experience,0
great place to spend a night or two,0
theres ample security and a friendly staff,0
it is a little bit away from the closest metro but honestly thats not a big issue,0
theyre arent any outlets by the beds and the lockers are only large enough to fit small valuables passport camera small tablet,0
good wifi that works in the rooms,0
unique neighborhood with lots of restaurants and metro stops close,0
the food they serve is ok i would recommend eating somewhere else,0
they have ac which is great in the hot summer months,0
me and my partner booked a private room in this hostel but my mistake we were taken into a hotel room,0
with luxurious bedding and bathroom to match it was one of best stays on our 5 month tour to match,0
on top of that a full kitchen with a broad breakfast on offer â‚¬7 and a bar with the cheapest beer in town,0
all in all we didnt enjoy leaving,0
overall was a great stay,0
however be aware that the elevator is out of order yet our whole stay no workers were there to fix it,0
and i had read previous reviews saying that it was out of order during their stay,0
this meant we had to climb the five flights of stairs with our20kg of luggage,0
the facility was very clean and the location was perfect close to supermarkets markets pubs and the london bridge underground station,1
most staff are helpful however some were unhelpful,0
if you are a budget traveller like me this is your spot,0
we had a private room for 2 nights and it was great,0
and i have stayed at other hostels in different countries,0
for a private room you get a double bed kettle filtered water tea tv with on demand movies and shows and large closet,0
it was a quiet stay rarely bumped into other people but you are right across from an outdoor food and drinks park lots of food drinks people and live music,0
youre a 6 minute walk from borough market too,0
it was okey,0
it was dirty under the bed and on the floors in our room,1
rude staff,0
myself and my friend stayed at the buget london apartments for 3 nights for wireless festival,0
in london,0
and i can truely say that it was perfect for us because we knew we wouldnt be spending much time in the rooms,0
 it was good value for money and basic facilities like showers,0
fridges etc were up to good standard,0
perfect location very friendly staff very safe very clean staff speaks english quite well  felt at home there,1
would definitely come back,0
not a place to meet other people of my age though,0
mostly very friendly,0
koreans visiting,0
still if you dont want to meet lots of people go there,0
the restaurent part was a bit in the expensive side but had quite a variety to choose from,0
the plugs werent abundant and there were no curtains for the beds in the dorm,0
good simple hostel the rooms are pretty small but some have balconies which is nice,0
the part of paris is a bit more sketch but not to bad and convenient access to metro,0
we got a room that had no air condition what so ever so we opened the window to get some air in but then we couldnt sleep since there was so much noise from the kitchen and bar ,0
then it also felt like we were staying in a kitchen since it was smelling like a kitchen with whatever dishes they were making down there ,0
we politely asked to change room but there was no can do according to the staff we asked so we just had hang in there those 3 nights we stayed  ,0
booked two nights at first and ended up coming back after a couple of days could not extend directly because it was full during the weekend,0
the location is just perfect for this price,0
the hostel has a chilled atmosphere a place to get back to after the crazyness if the city and relax,0
the curtains on the beds give you the privacy to do so,0
the staff was very nice and breakfast had more than i heard from other hostels,0
kitchen closes at night,0
an ok breakfast,0
mÃ¼sli and croissant and a small bread,0
bathroom in the room which is great,0
u can walk into the hostel all the way up to the rooms without any security,0
for the rooms you need cars keys,0
super hostel,0
staff were very friendly,0
it was clean ,0
great location for me as i needed to take the coach from victoria coach station when i left,0
there is also a tube station not far away ,0
i was a solo traveler for one night staying for a training day,0
so didnt want some kind of party hostel as the area is residential it was perfect,0
however without air con it was way too hot in the room and even with a fan for the 6 bed dorm i really didnt sleep well,0
good vibe and lockers for security,0
the most i found nice during my stay was the room with a nice bedroom and the lockers for personal stuff,0
it would be great if the hostel could has kitchen for guests,0
great price considering the location,0
ac worked great and the bed was comfortable,0
this was one of the best hostel ive stayed in period,0
it was just opened a few weeks ago and looks  feels brand new,0
good new comfortable beds brand new showers and toilets shower probably the best ive seen in a hostel free dinner,1
and the staff is great and lots of fun  ,0
ps,0
if you happen to see some reviews on google maps  those are for a different hostel that used to be there with a different name  owners,0
i got a bit scared first but this is an awesome new hostel ,0
i think the boat has sailed for me and hostels,0
the overall vibe was nice and the staff were good at wombats but the bed was absolutely filthy and the room was oppressively hot,1
i didnt stay for the night,0
picked up my bag later that evening and went to the travelodge,0
cute place,0
very nice staff,0
the room was ridiculously hot all roommates complaining about it and having a hard time to staysleep,0
when i talked to the reception the answer was there is nothing we can do it is not usually this hot in london,0
not even a fan,0
the windows are right in front of a construction and besides that there is an annpying sound 24x7 not sure what that is probably a machine always on ,0
location is ok the hostel is very nice,0
staff not really,0
bathroom inside the room was good,0
and again st christophers inn hammersmith has been a perfect getaway,0
awesome location an easy access to public transport comfy beds friendly and helpful staff members,0
10 out of 10 ,0
as well the discounted drinks at belushis pub and banging tunes from dj made my wednesday night extra fun ,0
cheers team ,0
comparing to other cheap hostel i can say tha one is one of the best for its price,0
sometimes internet connection was poor and also we had to wait a whole week until we can connect to the internet again,0
i would have been happier if those guys could keep the toilets cleaner,1
365 inn was absolutely a great choice,0
the hostel is conveniently located on a busyish street with lots of restaurants and shops,0
the closest train station is about 1012 minutes away and the area felt safe,0
we stayed for about 4 days3 nights and we were really happy with our private room with private bathroom,0
the hostel has a nice vibe to it,0
there is a bar and restaurant within and let me tell you after being on a plane for 13 hours a bar was very welcomed,0
overall we were really pleased,0
staff are amazing,0
nice hostel clean and comfortable beds and fab wifi in the cafe,0
you can rent a lock for the lockers if you want and the shower rooms were never busy,0
we arrived extremely late  were greeted by the best lowkey  super cool midnight shift crew,0
the lift was out of service as someone wa prior back injury i had to be really mindful of going up  down stairs w luggage they just put me on the 1st level ,0
the hostel is in great form and is still undergoing even more improvements with another mural of the city scape,0
the restaurant food is great  the world cup is giving the place extra life ,0
we had a great time,0
miss it already,0
thx,0
st christophers inn was a good beginning hostel ,0
pros near 2 central subway stations so getting around the city was easy had a diverse amount of shops and markets nearby some open on sundays friendly and helpful staff lots of good tourist info maps guides discounted tours etc and a nice bar beneath the hostel ,0
cons,0
when we first arrived our bedding was dirty though it was changed after we alerted the staff breakfast was so so rooms could get hot if the ac was not left on 247,1
i think hostelworld messed up and only booked 2 nights of the 5 that i actually scheduled for giving the benefit of the doubt,0
but everything turned out fine as i was able to sleep in the tea room,0
rooms and bathrooms are comfortably clean,1
the location is about a 15 minute walk to the closest subway station and you have to walk through an alley,0
what i did was rent a free bike from the hostel ride it to the closest subway station and left it there till i returned at night,0
overall i really enjoyed this place,0
very clean and well kept,0
evening activities posted on each floor and announced when youre checking in as well,0
breakfast spread is just bagels bananas and cereal so plan accordingly if you want a more hearty meal,0
would definitely recommend,0
they book up fast though so book early,0
just a good hostel and environment,0
big rooms,0
nice people,0
good location,0
demand is high so quality suffers,0
staffs attitude is hit  miss no matter how friendly you are,0
youre just another number in a region of the world where hostel demand is high,0
cleaning crew works very hard every day,1
great 1st floor if you like to be social,0
elevator next to reception works but reception probably wont tell you,0
aircon in every room is amazing very rare to find,0
first hostel ive visited that gets bombarded with a queue for 2pm check in needs a better system,0
b,
very good value for money with very low prices,0
location is very central a lot of places are walkable  not the place to stay if you were looking for the party area though,0
clean and well equipped,1
only large parts of the staff were super unfriendly and not helpful in answering questions,0
location was great  and the bed was comfortable ,0
but its too hot while i was staying there 2 nights,0
even,
we have had a fan running all day even in the midnigh ,0
by the way the noisy from the bar on ground floor was terrible ,0
it was terrible nights i have ever had been ,0
really good hostel especially for young people,0
great location and friendly staff,0
the 30 bed dorm wasnt too cramped and actually felt quite spacious with comfortable beds,0
luggage lockers were also available which was useful,0
it was by far the worst hostel i have ever stayed in,0
i stayed in a room for 10 people and they only had 4 plugs only close to the door not one for each bed and we had to take turns charging our phones also i couldnt be in my bed and near the phone at the same time,0
they didnt sell adaptors but they said they did,0
the wifi didnt work properly,0
they dont have a public kitchen which is ridiculous in a expensive city like paris,0
the key to our room was broken and we had to share it,0
overall,
a great place to stay at with just some minor issues of cleanliness,1
for starters we paid like twice to three times the amount for a dorm style room,0
they advertised 11â‚¬ on their windows,0
the wifi blows and doesnt really work at all,0
breakfast isnt included and not worth the 8â‚¬ they want for it,0
the top buck roomies dont have plugs near them,0
six people to share one bathroom so wake up early,0
there arent lockers in the rooms just some squeaky drawers on the beds that dont have locks,0
and the drawers are for two people,0
30 min train ride to city center,0
the hostel is really a great place to rest from all the busy life in berlins centre,0
